RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
106,1391,,Tiefflieger,+7,27,7,79%,34,2023/03/31
107,1391,,cocco,+1,222,142,61%,364,2023/04/12
108,1389,,WebsterBolek,+1,20,3,87%,23,2023/04/10
109,1389,,ChuaMC,+5,86,50,63%,136,2023/04/14
110,1384,,Assyrian♱,+1,36,12,75%,48,2023/04/18
111,1384,,NoBugJustSkill,-2,65,33,66%,98,2023/04/17
112,1383,,SIMONK,-1,9,1,90%,10,2023/04/15
113,1383,,TheGoodMoose,+3,89,40,69%,129,2023/04/17
114,1382,,McDonald,+10,10,0,100%,10,2023/04/17
115,1381,,Cheezus,+3,45,20,69%,65,2023/03/30
116,1381,,-Cr4nk-,+11,16,1,94%,17,2023/04/10
117,1381,,Farlion,+8,15,2,88%,17,2023/04/17
118,1381,,Pinky```,-1,70,35,67%,105,2023/04/18
119,1380,,Doctor Plague XPress,+1,18,4,82%,22,2023/04/16
120,1380,,阴险恶毒熊主任,+7,51,28,65%,79,2023/04/16
121,1378,,HelpingHans,+6,13,2,87%,15,2023/04/04
122,1378,,LemonMint,+4,22,5,81%,27,2023/04/12
123,1378,,Wayne_Wang,+4,14,2,88%,16,2023/04/17
124,1377,,Punk McThrust,-1,26,7,79%,33,2023/04/13
125,1377,,TheChosen,+7,52,24,68%,76,2023/04/18
126,1374,,SkYisTheLimiT,+3,29,11,73%,40,2023/03/29
127,1373,,Kamikaze Scotsman,+12,39,16,71%,55,2023/04/08
128,1372,,Finndeed,+10,26,6,81%,32,2023/04/07
129,1371,,SOLID MATTIC,+7,79,55,59%,134,2023/03/21
130,1370,,50584sh,+11,79,47,63%,126,2023/04/15
131,1369,,eZZzZ,-2,31,9,78%,40,2023/04/17
132,1369,,RoyalHants,-1,209,103,67%,312,2023/04/17
133,1368,,50ping,+2,30,9,77%,39,2023/04/15
134,1366,,T.R. sidewinder,+8,21,5,81%,26,2023/03/31
135,1365,,Fortune,+4,31,8,79%,39,2023/04/16
136,1365,,oziligath,+1,47,29,62%,76,2023/03/21
137,1364,,FarmerJoe,-1,81,33,71%,114,2023/04/17
138,1363,,folder,+5,150,112,57%,262,2023/04/13
139,1360,,Montaign3,+7,16,3,84%,19,2023/04/15
140,1359,,ohmygod321,-1,38,17,69%,55,2023/04/10
141,1357,,bigfriendlybert,+3,24,7,77%,31,2023/03/24
142,1357,,Vector,+9,36,14,72%,50,2023/04/12
143,1356,,enigmas,+5,10,1,91%,11,2023/03/22
144,1356,,Penetron2000,+10,36,17,68%,53,2023/04/14
145,1356,,sam,+3,20,6,77%,26,2023/03/22
146,1354,,FBI OPEN UP,-1,80,36,69%,116,2023/04/08
147,1354,,[★] Klaus von Reinherz,+19,30,10,75%,40,2023/03/26
148,1353,,Inverse,-1,35,12,74%,47,2023/04/18
149,1350,,vonManstein,-1,85,42,67%,127,2023/04/17
150,1348,,Archangel Michael,-3,58,30,66%,88,2023/04/16
151,1348,,NANAMI,+3,10,2,83%,12,2023/03/23
152,1347,,Evilstealer,+2,68,47,59%,115,2023/03/30
153,1346,,Blysk,+10,10,0,100%,10,2023/03/24
154,1345,,The S.E.X. haver,-2,29,14,67%,43,2023/04/02
155,1342,,Vector,-1,15,4,79%,19,2023/04/12
156,1341,,Commander_Utus,+4,18,5,78%,23,2023/04/14
157,1341,,ocean,+1,81,42,66%,123,2023/04/17
158,1341,,J_Shizlet,+4,24,10,71%,34,2023/04/16
159,1339,,LEBANESE FORSES,+4,24,6,80%,30,2023/03/21
160,1338,,Nostalgia93',+5,21,4,84%,25,2023/04/13
161,1338,,BeeFat,+6,14,3,82%,17,2023/03/29
162,1338,,Imperates,+1,25,8,76%,33,2023/03/31
163,1338,,Jelly Bean,+1,33,14,70%,47,2023/04/17
164,1338,,给我一颗星,-2,25,8,76%,33,2023/04/16
165,1336,,Mr. Bepsi,+4,52,27,66%,79,2023/04/02
166,1336,,MR Dun,-5,56,24,70%,80,2023/03/25
167,1336,,Tassos117,+1,32,14,70%,46,2023/04/06
168,1336,,DanielD,+8,13,1,93%,14,2023/04/16
169,1335,,Johnny 99,+8,31,11,74%,42,2023/04/03
170,1335,,LaFaf,-1,25,10,71%,35,2023/03/23
171,1334,,Madkitty,+3,91,44,67%,135,2023/04/16
172,1334,,OHxYEAHxJNP,+5,27,12,69%,39,2023/04/14
173,1333,,dire,+1,118,72,62%,190,2023/04/18
174,1333,,CoH2 sucks,+2,67,43,61%,110,2023/04/01
175,1333,,CheeseTonkatsu,+1,28,14,67%,42,2023/04/01
176,1331,,°NOSMarkov.-,+7,28,19,60%,47,2023/04/07
177,1331,,Jensen,+2,32,14,70%,46,2023/04/01
178,1331,,LW | MUERTE,+4,9,1,90%,10,2023/03/31
179,1330,,^1Soldat^0James,+1,21,9,70%,30,2023/04/15
180,1329,,Lady Rytsu,+4,100,69,59%,169,2023/03/26
181,1329,,JoseyWales_,-1,54,24,69%,78,2023/04/05
182,1329,,Blue Bear,+7,27,10,73%,37,2023/04/06
183,1329,,IpKaiFung,+10,10,0,100%,10,2023/04/18
184,1329,,Tiltimus Prime,-1,93,53,64%,146,2023/04/15
185,1328,,锅连长,+3,61,34,64%,95,2023/04/11
186,1327,,Brits Unplayable-Give Sniper,+1,88,59,60%,147,2023/04/11
187,1327,,pidzi,+3,20,7,74%,27,2023/04/14
188,1325,,Larry Lobster,+5,35,15,70%,50,2023/04/14
189,1325,,Centurion,+11,11,0,100%,11,2023/04/15
190,1325,,kizlo,-1,27,9,75%,36,2023/04/16
191,1323,,Ryan,+3,42,25,63%,67,2023/03/24
192,1323,,ProxyFox,+2,9,1,90%,10,2023/04/11
193,1322,,Mr. Fahrenheit,+7,22,7,76%,29,2023/03/22
194,1321,,-NSO- Hon3ynuts,+2,10,1,91%,11,2023/03/31
195,1320,,Lingu,+1,14,2,88%,16,2023/04/17
196,1317,,小芙丽娅,+1,28,10,74%,38,2023/04/16
197,1317,,2war,+4,17,3,85%,20,2023/04/09
198,1316,,星奏の女仆,+1,17,7,71%,24,2023/04/17
199,1316,,FK9DD,+7,15,4,79%,19,2023/04/17
200,1316,,Heals,-3,83,61,58%,144,2023/04/17
201,1316,,oki,+6,13,4,76%,17,2023/03/30
202,1315,,sgusgu,+2,146,111,57%,257,2023/04/17
203,1312,,Snake™,-2,44,24,65%,68,2023/04/16
204,1312,,Okeyeg,+3,25,10,71%,35,2023/04/06
205,1312,,Jünker,+8,17,3,85%,20,2023/04/17
206,1312,,Harold H,+1,27,12,69%,39,2023/04/14
207,1312,,TDoggyDogg,+2,18,7,72%,25,2023/04/16
208,1312,,swdertfht,+7,12,3,80%,15,2023/04/14
209,1310,,101st.Airbone,+4,42,20,68%,62,2023/04/17
210,1310,,3imWeckla,-1,48,35,58%,83,2023/04/15
211,1309,,Otter,+4,10,2,83%,12,2023/04/08
212,1307,,Eris,+3,110,78,59%,188,2023/04/03
213,1307,,NoMatterWha,-1,96,56,63%,152,2023/04/16
214,1306,,cohmod,+3,24,9,73%,33,2023/04/17
215,1304,,Luckeeey,-1,44,19,70%,63,2023/04/15
216,1304,,PutPut - AusarTheVile,-1,12,3,80%,15,2023/04/04
217,1304,,DieHard,-1,72,44,62%,116,2023/04/17
218,1304,,Kaduin,+4,79,47,63%,126,2023/04/17
219,1302,,John 14,+8,118,91,56%,209,2023/04/08
220,1301,,DaPopeCOH,+2,22,10,69%,32,2023/04/16
221,1300,,Quadro,+3,19,9,68%,28,2023/03/23
222,1299,,you can count on osttruppen!,+5,12,3,80%,15,2023/04/07
223,1299,,Enemy,-1,17,6,74%,23,2023/04/11
224,1299,,turkey cat,+1,21,7,75%,28,2023/04/14
225,1298,,SMOKO,-1,9,1,90%,10,2023/04/14
226,1298,,Quack,+7,15,4,79%,19,2023/04/16
227,1296,,Enterprise Ω,-1,21,9,70%,30,2023/04/17
228,1296,,.Hesko.,+3,80,51,61%,131,2023/04/17
229,1296,,Slyzor,+1,58,32,64%,90,2023/04/17
230,1295,,loleg,-1,9,1,90%,10,2023/04/01
231,1295,,nonononononononono,+5,10,2,83%,12,2023/04/15
232,1294,,xiaomo,+1,11,3,79%,14,2023/03/22
233,1294,,Grounded_Bagel,+1,62,39,61%,101,2023/04/16
234,1294,,Kyeon-woo,+6,16,6,73%,22,2023/04/01
235,1294,,Empa,+1,38,17,69%,55,2023/04/15
236,1293,,Goggzy,-1,28,13,68%,41,2023/04/17
237,1293,,Bames Nond Having A Stronk,-1,82,43,66%,125,2023/04/16
238,1292,,Rechter Winkel,+2,35,12,74%,47,2023/04/17
239,1292,,Bréad Cønnøisséur,-1,44,21,68%,65,2023/04/07
240,1292,,VitaminP,+4,9,2,82%,11,2023/04/16
241,1291,,Wuppie,+2,28,15,65%,43,2023/04/16
242,1291,,포스트정윤종,+7,14,5,74%,19,2023/04/05
243,1291,,Born to Coom,-1,26,13,67%,39,2023/04/17
244,1291,,Fuzzy Panda,+4,18,7,72%,25,2023/04/17
245,1290,,SexPistole,-1,16,6,73%,22,2023/04/15
246,1290,,eMBeLeS,-1,16,6,73%,22,2023/04/16
247,1290,,Fernando87ca,+5,68,44,61%,112,2023/04/14
248,1290,,DOGGI,+2,16,5,76%,21,2023/04/07
249,1288,,Rasler63,+3,14,5,74%,19,2023/04/14
250,1287,,Chad Kensington,-2,14,5,74%,19,2023/04/06
251,1287,,a hell on earth,+3,22,8,73%,30,2023/04/16
252,1287,,Shockz,+4,58,35,62%,93,2023/04/17
253,1286,,Gomi,-1,8,2,80%,10,2023/04/08
254,1286,,Ooged,-1,120,95,56%,215,2023/04/16
255,1285,,nVy,+3,18,8,69%,26,2023/04/06
256,1285,,wolf_tank,-1,25,14,64%,39,2023/03/28
257,1285,,Sunny,+1,11,4,73%,15,2023/04/12
258,1284,,tightrope,+1,25,10,71%,35,2023/04/10
259,1284,,piper dawn,+2,10,3,77%,13,2023/04/01
260,1284,,Lethal,+3,31,14,69%,45,2023/04/15
261,1284,,McBain,-1,13,4,76%,17,2023/04/14
262,1284,,Jeiseun,+4,36,21,63%,57,2023/04/03
263,1284,,BALCK_9,-1,32,20,62%,52,2023/04/16
264,1283,,himynameisho,+3,25,12,68%,37,2023/04/16
265,1282,,Ironfist,+10,55,32,63%,87,2023/04/12
266,1282,,zombi,+1,27,10,73%,37,2023/03/21
267,1281,,Sokay,+1,12,5,71%,17,2023/03/26
268,1281,,normad,+6,22,9,71%,31,2023/04/16
269,1281,,Logys P,+2,13,4,76%,17,2023/04/13
270,1280,,Simplify,-1,28,13,68%,41,2023/04/03
271,1280,,Chairman Pan,+1,28,15,65%,43,2023/04/17
272,1280,,Dezman,+7,19,8,70%,27,2023/04/05
273,1279,,juan.aldava,+6,12,5,71%,17,2023/03/26
274,1279,,TankinatorXD,+2,20,10,67%,30,2023/04/16
275,1278,,Nation,+2,13,4,76%,17,2023/04/12
276,1277,,akutoku,-2,27,14,66%,41,2023/04/06
277,1277,,Dunkerque,+2,34,22,61%,56,2023/04/15
278,1276,,BeerGrills,+2,15,5,75%,20,2023/04/16
279,1275,,Bulars,+7,34,22,61%,56,2023/03/26
280,1275,,Uncle Moist,+2,46,25,65%,71,2023/03/30
281,1275,,Free Stasiu,+3,12,3,80%,15,2023/04/07
282,1273,,Dusty,+1,13,4,76%,17,2023/03/28
283,1273,,AoE rage,+2,15,6,71%,21,2023/03/21
284,1273,,KyrreLubiWodę,+2,12,5,71%,17,2023/04/02
285,1272,,AYIK 01,-1,10,3,77%,13,2023/04/11
286,1272,,Wasack,+1,9,3,75%,12,2023/04/16
287,1272,,GOTE,+5,61,42,59%,103,2023/04/04
288,1271,,zhuk0v,+1,50,27,65%,77,2023/04/16
289,1271,,ъסּסּⁿ»Stoffa,-1,48,30,62%,78,2023/04/11
290,1271,,RyuJou,+3,9,3,75%,12,2023/04/01
291,1270,,cat tank,+3,10,2,83%,12,2023/04/13
292,1268,,Euan,-1,95,64,60%,159,2023/04/16
293,1267,,Lelano,-1,10,3,77%,13,2023/04/09
294,1267,,Gutsee,-2,31,15,67%,46,2023/04/08
295,1266,,Poodle,+4,12,3,80%,15,2023/04/16
296,1266,,AHungryPigeon,+2,49,32,60%,81,2023/04/10
297,1265,,Altrersyr,+2,23,17,58%,40,2023/04/05
298,1265,,Jackatm,+3,19,9,68%,28,2023/04/12
299,1265,,Razer,+7,17,5,77%,22,2023/04/06
300,1265,,DiddlyHole,+2,14,6,70%,20,2023/04/15
301,1265,,Bundy ♥,+9,40,18,69%,58,2023/04/15
302,1265,,Elisabeth Eugenie,-2,51,28,65%,79,2023/04/17
303,1264,,wardog,+3,67,45,60%,112,2023/04/02
304,1264,,Gmoney,-1,14,4,78%,18,2023/04/14
305,1263,,Vector,+7,9,1,90%,10,2023/04/17
306,1263,,Caesar,-2,9,5,64%,14,2023/04/14
307,1263,,我不會說中文,+4,10,2,83%,12,2023/03/30
308,1262,,Vaits,-1,14,7,67%,21,2023/04/10
309,1262,,GluteusMaximus,+1,27,13,68%,40,2023/04/13
310,1262,,BusinessBryce,+1,28,14,67%,42,2023/04/13
311,1258,,JackTW The VTUBER,+3,19,9,68%,28,2023/04/08
312,1257,,Otvor,-1,34,17,67%,51,2023/04/14
313,1257,,69apm,+5,9,1,90%,10,2023/04/13
314,1257,,Xandr27,+2,12,4,75%,16,2023/04/09
315,1257,,realeh,-1,11,3,79%,14,2023/03/23
316,1256,,TowerNumberNine,+5,32,17,65%,49,2023/04/16
317,1256,,Cular13,+1,32,19,63%,51,2023/04/16
318,1254,,crazyromanian,+2,23,12,66%,35,2023/03/26
319,1254,,HI,-2,37,19,66%,56,2023/04/17
320,1253,,DD響,+4,9,2,82%,11,2023/04/12
321,1253,,Dromaeda,+2,38,20,66%,58,2023/04/06
322,1253,,潮去，潮来,-2,19,9,68%,28,2023/03/22
323,1252,,JustLemon,-1,17,7,71%,24,2023/04/01
324,1252,,Franz,+10,19,8,70%,27,2023/04/03
325,1252,,Trademark,+2,8,2,80%,10,2023/04/12
326,1251,,够得到的钟摆,+3,138,112,55%,250,2023/04/17
327,1251,,NaseMabi,-1,21,10,68%,31,2023/03/26
328,1250,,Spades68,+6,10,3,77%,13,2023/04/17
329,1250,,aSIISymbiosis,+4,9,2,82%,11,2023/04/12
330,1250,,~SB 真多~,+4,15,6,71%,21,2023/04/14
331,1250,,Rafapesc,-1,31,15,67%,46,2023/04/17
332,1250,,DeFro,+3,10,2,83%,12,2023/04/17
333,1249,,Dandru,-2,10,3,77%,13,2023/03/22
334,1249,,Sujy,+3,11,5,69%,16,2023/04/07
335,1248,,Le rat Madan,-1,21,10,68%,31,2023/04/14
336,1248,,OnCe_Ov3R,-3,41,26,61%,67,2023/04/11
337,1247,,Le Negev,+3,11,4,73%,15,2023/03/28
338,1247,,KURT_,+3,86,61,59%,147,2023/04/09
339,1247,,hireling,-1,23,17,58%,40,2023/04/17
340,1247,,Parasite,+3,19,8,70%,27,2023/04/15
341,1247,,Zijiren,+2,57,36,61%,93,2023/04/17
342,1246,,GenObi,-1,38,24,61%,62,2023/04/14
343,1246,,Gus Fring,+1,19,9,68%,28,2023/04/12
344,1245,,Herodad,-6,35,22,61%,57,2023/04/01
345,1245,,Sraczka,+1,17,6,74%,23,2023/03/27
346,1245,,Birdy,+5,9,2,82%,11,2023/04/16
347,1245,,Studano,-1,40,26,61%,66,2023/04/08
348,1244,,Kraut,+2,16,9,64%,25,2023/04/11
349,1244,,403671774,+1,56,41,58%,97,2023/04/16
350,1244,,Riftwalker,+4,10,4,71%,14,2023/04/02
351,1244,,Jimbob2121,+1,17,7,71%,24,2023/04/10
352,1242,,Togep,+1,14,5,74%,19,2023/04/06
353,1242,,KC,-1,35,21,63%,56,2023/04/02
354,1242,,AdLibitum003,+2,13,7,65%,20,2023/04/05
355,1242,,Kannamix,+2,53,36,60%,89,2023/04/17
356,1241,,VulcanHDGaming,+1,23,11,68%,34,2023/04/07
357,1241,,bog,+5,41,18,69%,59,2023/04/06
358,1241,,[Meow]MeowTiTi(◓Д◒)✄,+3,37,21,64%,58,2023/03/31
359,1241,,DizzyWaters,+8,20,6,77%,26,2023/04/01
360,1241,,BurdenedWarrior,-1,9,2,82%,11,2023/04/08
361,1241,,CrystalManck,-2,41,26,61%,67,2023/04/17
362,1240,,karamo6,-2,43,23,65%,66,2023/04/15
363,1239,,SturmTigerGoat,+2,18,8,69%,26,2023/03/22
364,1239,,WARWOLFMELF,-2,56,38,60%,94,2023/04/01
365,1238,,CupcakeOfDeath,+1,14,6,70%,20,2023/04/11
366,1238,,Alex Deko,-1,26,15,63%,41,2023/03/26
367,1238,,TwistedTootsy,+1,15,6,71%,21,2023/04/15
368,1238,,asd 546,+8,17,6,74%,23,2023/03/31
369,1238,,SHVAKS,-1,26,15,63%,41,2023/04/04
370,1238,,Roland le Fartere,+3,36,26,58%,62,2023/04/16
371,1237,,[TB] Pvt. Mike,+3,21,15,58%,36,2023/03/23
372,1237,,Tequila Sunset,-3,39,22,64%,61,2023/04/04
373,1237,,FuzZiioN,-2,22,12,65%,34,2023/04/02
374,1236,,Chaos,+2,21,14,60%,35,2023/03/21
375,1235,,Vitzy J,+1,67,48,58%,115,2023/04/16
376,1234,,美味鸡蛋灌饼,+2,14,4,78%,18,2023/04/05
377,1234,,Lanfeust,+1,23,11,68%,34,2023/04/15
378,1234,,Maxi,-1,19,9,68%,28,2023/04/16
379,1234,,Crazy bee,+1,7,3,70%,10,2023/04/04
380,1234,,Waltzing Matilda,+2,63,42,60%,105,2023/04/17
381,1233,,Kleppon,+1,13,4,76%,17,2023/04/02
382,1233,,Яма со мной,+3,19,10,66%,29,2023/03/23
383,1233,,Lifer,+6,16,6,73%,22,2023/04/16
384,1232,,2nd Lt. Wilson [Ranger],+3,20,13,61%,33,2023/04/09
385,1231,,chilipopper,+1,10,4,71%,14,2023/04/09
386,1231,,ZRL454,+10,17,6,74%,23,2023/04/16
387,1231,,MrSir,+2,72,54,57%,126,2023/04/14
388,1230,,BloodSpark,+6,10,2,83%,12,2023/03/23
389,1230,,Bucho Burns,+9,20,8,71%,28,2023/03/25
390,1230,,Iron_Sarge69,+2,29,16,64%,45,2023/04/15
391,1229,,Halophile,+5,31,14,69%,45,2023/04/15
392,1228,,Noob Nath,-1,47,32,59%,79,2023/04/18
393,1228,,Auxiliary Priest,+6,21,11,66%,32,2023/04/06
394,1227,,Sticket,+2,14,6,70%,20,2023/03/31
395,1227,,[MF] YourTherapist,-1,51,34,60%,85,2023/04/10
396,1227,,Peacemaker,-2,23,13,64%,36,2023/04/14
397,1227,,Jsizzle,-1,31,19,62%,50,2023/04/15
398,1226,,Pwnbot,+5,10,3,77%,13,2023/04/02
399,1226,,Attitude Adjuster,+2,35,16,69%,51,2023/04/01
400,1225,,Fredboy3000,+1,15,9,63%,24,2023/04/08
401,1225,,Reaper,-2,9,2,82%,11,2023/04/11
402,1225,,[DPRK]DoGGiMan,-2,13,8,62%,21,2023/04/06
403,1224,,Lippo,+3,35,21,63%,56,2023/04/16
404,1224,,Waddn,-1,12,3,80%,15,2023/04/17
405,1223,,Dick Kickem,+1,77,48,62%,125,2023/04/12
406,1223,,matwyr,-2,15,8,65%,23,2023/04/15
407,1223,,Adrian Calu,-1,24,9,73%,33,2023/04/06
408,1222,,Madskill^^,-1,76,47,62%,123,2023/04/17
409,1221,,type97tiha,-5,27,16,63%,43,2023/04/04
410,1221,,rain,+3,7,3,70%,10,2023/04/17
411,1221,,MaYoR,-1,55,33,63%,88,2023/04/17
412,1221,,Angry Android,+1,25,14,64%,39,2023/04/10
413,1220,,aSIIdeceiv3r,+1,19,10,66%,29,2023/03/26
414,1220,,MauserTeleri,-2,10,6,63%,16,2023/03/22
415,1219,,Turin,+2,29,17,63%,46,2023/04/04
416,1219,,lp,+4,9,3,75%,12,2023/04/16
417,1219,,naughtynazi,-1,21,11,66%,32,2023/04/17
418,1219,,Boss kachalky,-2,9,4,69%,13,2023/03/22
419,1219,,Hodolf,-2,50,27,65%,77,2023/04/12
420,1219,,All Day,+1,26,12,68%,38,2023/04/16
421,1218,,yunusG35,-1,60,40,60%,100,2023/04/16
422,1218,,Homeless,+1,27,14,66%,41,2023/04/10
423,1218,,Junkz,+3,16,9,64%,25,2023/03/31
424,1217,,Neko,+6,39,24,62%,63,2023/04/04
425,1217,,Azxc,-1,27,14,66%,41,2023/04/10
426,1217,,JULIUS,-2,40,24,63%,64,2023/04/17
427,1216,,Nebel,+2,13,6,68%,19,2023/04/17
428,1216,,Ja Sam Tvoj Bog,+2,54,35,61%,89,2023/04/15
429,1216,,OP,+5,14,6,70%,20,2023/04/02
430,1215,,Tubby,+4,19,8,70%,27,2023/04/16
431,1214,,ChocolateStarfish,+1,35,18,66%,53,2023/04/03
432,1214,,CrazyEight1994,-3,22,11,67%,33,2023/04/14
433,1214,,run,+1,7,3,70%,10,2023/03/25
434,1213,,FlAyPiGg,+8,14,5,74%,19,2023/03/30
435,1213,,Danobbit,+2,8,3,73%,11,2023/04/14
436,1213,,Panzerfaust,+3,20,12,63%,32,2023/04/18
437,1212,,BA_Flesh_WounD,+7,64,45,59%,109,2023/04/17
438,1212,,MarnyPopis,+1,25,15,63%,40,2023/04/17
439,1211,,喵了个咪,+8,32,19,63%,51,2023/04/17
440,1210,,≡[EZGK]≡ T3dgO13,+2,12,6,67%,18,2023/04/15
441,1210,,Nesli,+3,13,5,72%,18,2023/04/14
442,1210,,Invokerka,+13,23,10,70%,33,2023/04/15
443,1210,,Dullahan,+1,10,3,77%,13,2023/03/28
444,1209,,SovietBuffalo,+1,14,7,67%,21,2023/04/16
445,1209,,EG_DirtyKen,+3,20,9,69%,29,2023/04/16
446,1209,,REDACTED,-1,14,9,61%,23,2023/04/15
447,1208,,中國狗比人多,+2,57,36,61%,93,2023/04/17
448,1207,,tank,+1,17,11,61%,28,2023/04/17
449,1206,,co11to11no11,+5,15,7,68%,22,2023/04/15
450,1206,,SadAndSexy,+2,8,2,80%,10,2023/04/09
451,1206,,Terawu,+2,24,16,60%,40,2023/04/17
452,1205,,Trivolka,+1,20,11,65%,31,2023/04/17
453,1205,,[IRS] EBass,-1,36,20,64%,56,2023/04/08
454,1204,,tubagznyven,+1,32,26,55%,58,2023/04/16
455,1204,,Florian Geyer von Giebelstadt,+1,17,9,65%,26,2023/04/10
456,1203,,loovus,+1,19,12,61%,31,2023/04/15
457,1203,,Stormless,-1,24,12,67%,36,2023/04/16
458,1201,,Tibia,-2,10,5,67%,15,2023/03/21
459,1201,,Core,-1,15,5,75%,20,2023/04/10
460,1201,,50uz83rw,-3,16,8,67%,24,2023/03/23
461,1201,,Killervirus,+7,16,9,64%,25,2023/04/14
462,1200,,Fat Nanny,+5,24,12,67%,36,2023/04/13
463,1200,,mstcrstn,+1,14,10,58%,24,2023/04/15
464,1199,,GhostVengeance,-1,9,3,75%,12,2023/04/14
465,1199,,Vettlen,-1,19,12,61%,31,2023/04/17
466,1199,,Heckmek,+1,9,4,69%,13,2023/03/24
467,1199,,Beregonds,+1,15,8,65%,23,2023/04/05
468,1198,,spz,+2,54,32,63%,86,2023/04/17
469,1198,,fefsan,+1,62,46,57%,108,2023/04/17
470,1197,,Sharpg,+2,22,14,61%,36,2023/04/17
471,1197,,suomenpaskin,-1,37,27,58%,64,2023/04/04
472,1197,,lupoy,+1,9,4,69%,13,2023/04/17
473,1196,,snekasan,+2,38,24,61%,62,2023/04/17
474,1196,,熬夜会秃头,+3,95,79,55%,174,2023/04/17
475,1195,,陈老以,+2,14,6,70%,20,2023/03/26
476,1195,,alu,+3,26,15,63%,41,2023/03/21
477,1195,,Pano_ramix,+5,61,47,56%,108,2023/04/15
478,1194,,yes,-1,26,13,67%,39,2023/03/25
479,1194,,Free Phalanx,+1,143,118,55%,261,2023/04/16
480,1194,,Kroll,+1,10,5,67%,15,2023/04/09
481,1193,,eybe,-1,14,8,64%,22,2023/04/06
482,1193,,Kaypen97,+1,10,5,67%,15,2023/03/24
483,1192,,Tommo,+3,60,44,58%,104,2023/04/14
484,1191,,Sukulaku,+2,13,5,72%,18,2023/04/12
485,1191,,C.G. Jung,-4,26,14,65%,40,2023/04/14
486,1191,,BreadMarshLivePlace,+1,9,4,69%,13,2023/03/26
487,1191,,BiliBili 乂 神帕斯狼,-3,51,39,57%,90,2023/04/03
488,1191,,TheBlartySurfer,-1,8,5,62%,13,2023/04/07
489,1190,,Templariusz,-1,8,3,73%,11,2023/04/13
490,1188,,phx.Mohikaner,+3,22,12,65%,34,2023/04/17
491,1188,,Adam,+5,52,34,60%,86,2023/04/17
492,1188,,BadmanLarry,-1,63,42,60%,105,2023/04/12
493,1188,,[WD44] Judge,-1,26,14,65%,40,2023/04/16
494,1187,,BotBot,+6,15,5,75%,20,2023/04/07
495,1187,,twitch.tv/IL2_live,+2,45,35,56%,80,2023/04/15
496,1187,,Zaterner,-1,10,4,71%,14,2023/04/17
497,1187,,tagilla,-2,17,12,59%,29,2023/04/08
498,1186,,bluegreen,+4,15,6,71%,21,2023/03/30
499,1186,,I Find A Computer Indispensable,+4,17,10,63%,27,2023/03/30
500,1186,,Dumdidaj,+1,10,3,77%,13,2023/03/23
501,1186,,yeah,+5,8,2,80%,10,2023/03/30
502,1186,,只愛❤毛妹,+5,23,12,66%,35,2023/04/13
503,1185,,Laughing Sun,+5,12,6,67%,18,2023/03/21
504,1185,,RIZAs,-1,12,7,63%,19,2023/03/31
505,1185,,恩恩,-2,45,31,59%,76,2023/04/14
506,1184,,tya12,+7,21,9,70%,30,2023/04/01
507,1184,,✪ Wesker,+1,42,25,63%,67,2023/04/17
508,1183,,kennyemmy,+7,8,2,80%,10,2023/03/29
509,1183,,Major Striker,+5,11,5,69%,16,2023/04/13
510,1182,,Gamer_Genius|Erice,-1,14,8,64%,22,2023/04/17
511,1182,,Korto,+7,27,20,57%,47,2023/04/07
512,1182,,King Jelly Chip Chip,+1,9,3,75%,12,2023/04/04
513,1181,,lubi,+5,19,12,61%,31,2023/04/14
514,1181,,The Sage,-1,11,8,58%,19,2023/04/07
515,1181,,StorageRoom,-1,27,17,61%,44,2023/04/16
516,1181,,That Guy!,+2,35,26,57%,61,2023/03/24
517,1180,,B3rr3x,+1,30,18,63%,48,2023/04/17
518,1180,,IULIUS,+1,8,3,73%,11,2023/03/28
519,1180,,GrIMM,-1,58,44,57%,102,2023/03/24
520,1180,,Dur3X,+2,13,6,68%,19,2023/04/09
521,1179,,Jokz,+1,13,8,62%,21,2023/03/29
522,1179,,Add3,+3,22,13,63%,35,2023/04/07
523,1179,,Hing-gi,+2,28,14,67%,42,2023/03/26
524,1178,,montag,-2,41,25,62%,66,2023/04/07
525,1178,,GeeNo,+1,11,5,69%,16,2023/04/12
526,1178,,Max1boy,+1,11,3,79%,14,2023/03/31
527,1177,,VIETKAMPFGROUPE,+5,106,90,54%,196,2023/04/17
528,1177,,RepoRogue,+1,12,6,67%,18,2023/04/13
529,1177,,Uncle Iroh,-1,22,14,61%,36,2023/03/23
530,1177,,awayan,+6,39,26,60%,65,2023/04/17
531,1176,,Spedgar,-1,7,4,64%,11,2023/04/15
532,1176,,The_Mad_Hat,+2,9,5,64%,14,2023/04/07
533,1176,,Dr. Gore,+2,12,8,60%,20,2023/04/08
534,1175,,Snoop',+3,29,17,63%,46,2023/03/25
535,1175,,DatFred,+2,30,19,61%,49,2023/04/05
536,1175,,IJkoek,+6,34,26,57%,60,2023/04/17
537,1173,,Retyayre,+1,8,4,67%,12,2023/04/16
538,1173,,ahegao blade,-3,16,9,64%,25,2023/04/12
539,1173,,AltopS,+2,35,25,58%,60,2023/04/16
540,1173,,Nekrophage,+4,47,31,60%,78,2023/03/22
541,1172,,SquishyMuffin,+2,15,9,63%,24,2023/04/04
